date,quarter,title,pros,cons,category
27-Aug-16,3,Bean counters rule the court,The payMost of the people,"Medical benefits and retirement are not that great.Claim focused on safety but would rather cut corners and fudge data and calculations to get by.HOS pits employees against each other and drives ""check the box"" metrics.",
28-Aug-16,3,Totally Average,"You get the advancement opportunities of a big company, so you can expose yourself to huge variety of skills and experiences.","You are a faceless cog in the organization. If you are not an advocate for yourself, no one will be. Occasionally oppressive expectations around work hours and availability if you work in ISC.",
28-Aug-16,3,greedy corporation,only to get a paycheck,honeywell is a greedy corporation that locked out its union employees that were making the company record numbers of production because the employees were not willing to accept concessions in their contract offer,
29-Aug-16,3,Average Pay,"Good compensation plan for sales, super expensive insurance and little to know annual base salary increase.",Top heavy out of Touch Management.,
30-Aug-16,3,Manager,Good work and life balance,Business moves at a slower pace,
30-Aug-16,3,System Engineer II,Experienced Coworkers to learn from,"personnel reduction, furloughs, no growing opportunities, not the most competitive salary, bad benefits, and bad management or micro-management however you want to call it.",
31-Aug-16,3,overall good,Salary On time. Alot of learning,Do many matrix reportingTo many meeting,
31-Aug-16,3,Product marketing manager,Large presence in Arizona with many sites and product lines so a lot of opportunity to change jobs or locations,"Benefits cut year after year and cost increases every year; pay raises extremely low (if at all), bonuses permanently reduced for most managers, recurring work furloughs, and continuous reorganization resulting in layoffs. Very unhappy workforce",
31-Aug-16,3,Nice to work on. Good Community,"There is a great community around this Honeywell Site. Benefits like flexible time, telecommuting, 401K, pension plan, among others are great","No transparency with employees within all levels. Management is somehow not knowledgeable about tasks their respective employees do. Training is difficult. Even though you are a salaried employee, you still have to report the hours you work.",
31-Aug-16,3,It's all about the Benjamins,There are no Pros to speak of as a contractor. The only Pro was not having to return after my contract was up.,"Will keep you for two years as a contract worker then when your contract is over...BYE, FELICIA.Overworked to make management look good, in the end all that matters is money and how things look.No one cares about rules and regulations until a bigwig is due to come in, then you better CRAM just in case you are asked about it.The work environment in the Wichita facility is toxic and favoritism is rampant.",
01-Sep-16,3,Good Company,lots of network and community,Less work more reviews Doc,
01-Sep-16,3,Business Sales Operations Program Mananger,Big CompanyChallengingLeadership attentionGreat Opportunity to show offgreat exposure to leaders of the organization,Puerto Rico SalarySalary increaseFurlough RiskLeadership decisions not well planned.,
02-Sep-16,3,Press operator,Very safty oriented company. Vacation and holiday schedule is fantastic. Work environment is good.,"Benefits are terrible. Takes to many people to make a decision. Hiring process is not good, takes to long.",
02-Sep-16,3,No respect for employees,"Permanent employment, check bi-weekly, & some individual are professional & helpful","Low advancement opportunities, company care more about money than employees livelihood. No raises, medical benefits & other perks cut every year, while the CEO, VP & other upper level management salaries continue to increase. Notice of furloughs, & layoff are a constant occurrence.",
04-Sep-16,3,Good company,Good career growth. I was promoted 3 times in 6 years.,High turn-over in upper management. 6 plant managers in 3 years.,
04-Sep-16,3,Company Values its Employees but is Slow to Promote,Company provides oversight and accountability for personnel behaviors and job function. Pay is good.,Large company is slow to change. Different managers provide different levels of oversight. Company is very slow to promote. Benefits are slowly being reduced. Work/life balance dependent upon manager.,
04-Sep-16,3,Software Engineer,"Friendly environment, good co-workers, challenging projects","low salaries, difficult to get promotions",
05-Sep-16,3,Great company,"Great job, people and benefits",They are always downsizing jobs,
05-Sep-16,3,Good Pay - Horrible Management,"Good pay, benefits, and work environment.","Horrible management! Older workers are not appreciated, and are routinely targeted for termination. HR touts a 1% termination rate, but people are forced to retire. They are forced because the company will tie up your pension if you litigate.",
05-Sep-16,3,Going Downhill very fast,"Excellence in current Technology and Engineering staff technical knowledge. Excellent six sigma training, although this has been getting scaled back over the past 10 years; content remains good.","Ultra-poor leadership; starts at CEO. Layoffs, furloughs, no investment in Capital - literally have had a roof leaking in my lab for over 10 years without the investment to fix it. Most equipment 15-30 years old without replacement due to small US capital investment. Much technology moving off-shore. The wheels are coming off in spite of workers best efforts to make do.",
06-Sep-16,3,Marketing Manager,Great company building and delivering great solutions,Global role has large demands on your work / home life balance. but its fun,
07-Sep-16,3,Career Advancement Opportunities,Good career advancement for hard workers. Multi-industry allows for many different experiences.,Frequent reorganizations. Healthcare plan expensive and has low benefits.,
07-Sep-16,3,Honeywell Cuts Costs Every Chance it Gets,World class co-workers working on some of the most innovative technology in the Aerospace industry. Good base pay. Industry-leading initiatives in production productivity and marketing activity.,"The benefits are awful and keep getting worse. Honeywell pioneered medical testing for its entire employee base annually. We have only sky high deductible plans for medical and nothing special in any other areas.Honeywell Aerospace has had multiple years with no raises and multiple furloughs and layoffs since I joined a few years ago. Many positions have relocated to low-cost regions. I have never felt like my job is secure at this company.The site facilities are awful, the cafeterias have awful food with no options and they close early for every meal. There is no on-site IT support for computer or printer issues. I can't even use the garbage can in my cube for food waste because they don't pick up garbage every night so all food waste has to go in the central garbage.They have no consideration for quality of life or work / life balance. Telecommuting regularly is no longer allowed. Health or child care facilities are not available on-site. The only common space is the cafeteria, so socializing is difficult. They have even eliminated annual barbeques, Christmas parties, etc. This place is just soul sucking and no fun.",
07-Sep-16,3,Honeywell is a really good company,"Great 401K, benefits, clients and managers. Plenty of work to do (I like to stay busy) and fulfilling providing customer support.",Contract Ended - difficult to find another with this company.,
07-Sep-16,3,Okay place to work,You get a paycheck every two weeks.,"Employees are not treated well. Culture of ""watch your back""",
07-Sep-16,3,Honeywell employment,Honeywell stock prices are very high at the moment.,"Extremely poor benefits packages. Continuous wage freezes, layoffs and furloughs.",
08-Sep-16,3,Company was bought,Processes to describe everythingAbility to work from home/remote,Re-orgs after re-orgs once one was done you could set an egg timer for the next. Ability to work from home can eat away at work/life balance.,
08-Sep-16,3,Constant riffing,Highly capable teams with lots of work to do. Coworkers are friendly,constant restructuring going on right now. Tons of jobs in flux with no end in sight. Maybe things will settle down next year,
08-Sep-16,3,Engineering,Good working environment. Challenging projects.,Personal Growth stagnant. Lax attitude on deliverables and deadlines.,
08-Sep-16,3,Horrible conversion rate,Honeywell provides a laid back work environment..,"A severe lack of communication with employees, high turnover rate. They keep contract worker on, up to 2 yrs without converting them into full time employees.",
09-Sep-16,3,Rewarding and continuous learning career company,Stay in touch with latest industry trends and practices. Engage with peers to drive continuous improvement using lean and agile principles,Does not provide stock incentive plans. Work life balance leans more towards work and on time performance and tight schedule delivery.,
09-Sep-16,3,Busy Place,"Lots of work! Running very lean on heads, gives a daily challenge.",Health benefits are very poor.,
09-Sep-16,3,Outstanding,Can work for days and days and days.,you will work 24 hours a day.,
09-Sep-16,3,Good Company,Good company in general. Good salary and benefits.,Bad supervisors in charge of admin staff.With all the admin turnovers there should be more attention paid at the performance of the supervisor.,
11-Sep-16,3,Former whistleblower who was just doing my job.,Easy to make friends there. Good money.,"If previous shift did not do their job, and you have to call it in, you will be fired.",
11-Sep-16,3,Company recognition,Continuing education in technology advances in product releases.,Employees are required to increase responsibilities with unofficial titles with little to no merit.,
11-Sep-16,3,Get ready for furlough!,"Stable work, great salaries, solid product lines and stable contracts.",Corporation cares more about reaching dividend forecasts than motivating their people. 3 furloughs in one year. Or 3 weeks not paid. Looking for another job.,
11-Sep-16,3,Company keeps getting worse each year,Honeywell has a few good supervisors but with all the greed and games they can't help their employees. If I could give no stars I would.,"Horrible pay for a company its size. Multiple furloughs last year year, quarterly furloughs this year along with RIFs and no overtime. Same work load with way less people. Very bitter work staff. HR isnt worth a damn, you have an issue with anyone or thing and it seems the whole plant finds out.",
12-Sep-16,3,Room for growth-however unstable in Golden Valley,"Big company with room for growth. Competitive wages. 401k matching. Flexible schedules. This is minor, but unlimited soda and coffee in the cafeteria is a nice little perk.","Unstable in Golden Valley with jobs moving out of country. With hiring freezes, no raises in 2016, riffs, and layoffs, it is difficult right now. This is not how it has always been. There have been a lot of changes in upper management that have caused this. Top talent that have been with the company are leaving or being let go.",
12-Sep-16,3,Honeywell in Retraction Mode,"It's a paycheck. But let the reader understand, it is a continuosly shrinking one.","Constant threat of layoffs and unpaid furloughs, no cost of living increases nor raises for a couple years running, poor benefits and getting worse, reduced 401K match, expensive insurance ($8000.00 annual deductible for a small family), outsourcing engineering & tech roles to India, micro management, low morale, nearly zero advancement opportunities (the best jobs are being eliminated), and yes there is much more... If there were glory days, they are long gone (unless you're a top dog, then you are laughing all the way to the bank).",
12-Sep-16,3,No Future,"Pros are no longer present due to reduced benefits, frequent unpaid furloughs, and layoffs.","Week long unpaid furloughs company-wide followed by layoffs several times per year, agreed-to salary is sometimes reduced without consent, anything is possible to inflate the CEO Dave Cote's exit package. You will pay for acquisitions, not Honeywell.",
13-Sep-16,3,Customer Care,"Great reputation, people and location",No permanent positions available after 2 years,
13-Sep-16,3,Depends on where you work within the org,"In my role (earlier than 2012) I had lots of variety and the ability to take on as much responsibility as I wanted. The overall culture was draconian and very much ""good old boys club"" but in the area where I worked and my job allowed me to, for the most part, ignore that and get my work done.","That meant ignoring a screaming, lunatic of a boss (there were far too many but I rarely saw mine), her assistant who broke down in tears 1-3 times each week, the numerous extra-marital affairs with VPs and promotion by cleavage. HR's job was to fire anyone who was a whistle blower or in any way disagreed with management. Senior managers were great (the ones I knew all left), mediocre and a bit crazy, the latter two ""styles"" fared the best.",
14-Sep-16,3,Director of IT,Solid company with great product portfolio. Some really great people who strive to do the right thing. Good opportunities for advancement if you align to the company path.,Narrow functional focus reinforced by compensation plans which prevents efficiencies across groups. Lack of recognition of the importance of IT to the success of the organization as digital transformation engulfs industries.,
14-Sep-16,3,Major Stock Holder's dream,Great people at the site.Top rate CAPA program.Safety conscious.Process improvement is paramount.,"Corporate had a plan to obsolete us from the time when they purchased our site but acted like we were part of long range forecasting. We were purchased in August 2011 and closed by June 2015 with OEM sent to a plant in Mexico. Top level management receive all the bonuses, stock compensation and perks while operations get zero.",
15-Sep-16,3,Sr. Manager,Good place to learn. Decent pay and benefits although they are declining.,"The personal touch at Honeywell Aerospace is gone and employees are a number rather than an asset. In 2016 we have taken pay cuts and unpaid furlough week off every quarter. As people leave they do not back fill and we have had 2 layoffs in the 1st 3 quarters of the year while the stocks do great and leadership gets their bonuses. The company continually cuts project and site funding needed to improve quality on rejected hardware or meet customer investigation commitments.Those of us left are expected to do more with less and cover the job responsibilities of those that have left or been laid off. Years ago, this was a great place to work, but not anymore. We are losing many talented people as they choose to seek employment elsewhere due to all of the changes and cuts.",
15-Sep-16,3,Analyst,Company allows for some flexibility in schedule.,"With the recent work furloughs and layoffs, there is no job security. As a result, the employee morale is low. High deductible medical insurance.",
16-Sep-16,3,Product Marketing Specialist,"Given the size of the company, there are a lot of opportunities to grow. Honeywell places a lot of emphasis in Product Marketing as the driver for growth. It is a great place to work as a Product Manager where you can use the systems in place and tools available to set, drive, and implement growth strategies in wide variety of markets.","The company, specifically the Sensing and Controls division, is fairly risk averse. Given the size of the company and the tendency to be risk averse, you can find the implantation of the projects to be slower than a smaller, more nimble company. My advise is to backup all initiatives and ideas you might have with data and a cost/benefit analysis to gain the support of management and get your projects funded.",
16-Sep-16,3,Par For the course,Large Company with a lot of resources.Relatively easy to move around internally.,"Health insurance isn't very good.A lot of free overtime is expected from Salaried employeesVery lean workforce, so we constantly juggle multiple projectsSeveral furloughs and layoffs lately.",
16-Sep-16,3,Engineer,"Established company, competitive pay, strong stock",Growing disregard for its employees,
16-Sep-16,3,Intense,There are opportunities to move around since it's such a big company. The pay is good and the products are interesting.,The programs are intense because the resources are constrained. There are layoffs and furloughs happening often.,
17-Sep-16,3,Honeywell,Good continuous improvement culture at all levels,Not any ... treated me very well with alot of upward mobility,
17-Sep-16,3,No fun for PMs,"Diverse products and services, true global company.","No fun for PMs. Really. Too many metrics, many conflicting, with nearly impossible ability to achieve goals leading to bonus reductions. Big stick, no carrots.",
18-Sep-16,3,Below Market,Flexible to allow working remote,"Low compensation and poor medical insurance choices, only 2 weeks PTO/yr. No company contribution to 401K until after a year.",
18-Sep-16,3,Overall good company,Overall good company. Lots of different career options and opportunities,Salaries increases but given the current economy it is understandable - for the moment.,
18-Sep-16,3,Review,"Flexible work hours. My star ratings are an average of my immediate situation of the last few years, my situation the decade before that, and what I see going on among all the people with whom I work.My immediate manager is an amazing anomaly, constantly pushing us to move up the ladder, explaining the boxes that need to be checked off so upper management can't block our promotions and how to navigate the god-awful politics and get around the massive road block that is ""HR"", the Lawsuit Prevention Squad. Upper management would get rid of him if they knew what he was doing for us as it goes against the one and only commandment of ""Thou Shalt Cut Costs At All Cost!."" None of the other managers I have had in the last 15 years had the stones to even try to explain what it really takes to get promoted in this environment. Just promote the ones you like. Most didn't even understand our group's true function, and considered all of us unpromotable because 'you only do ...' My present manager is the only reason I could give anything 2 stars.","Where to start...don't be fooled, darius is dave's clone without a personality (which can be pos or neg depending on your point of view). Other than the very small bubble I am currently in, what I see going on around me is appalling. The last 5-6 years have been a rapidly accelerating descent through chaos into indifference. Read the other reviews for details, what they describe is spot on. Don't be fooled by the company sponsored 4-5 star 1-2 sentence reviews that are probably required in bulk of HR minions so they can be promoted. The best employees are loaded up to the point of collapse/quitting as they try to keep things afloat with no support from their managers, the best of whom are also overloaded and completely hamstrung by upper management's greed for ever larger bonuses. The company is being hollowed out by upper management skimming off the top while the employees doing the work get less and less for their efforts. When management states there is 'really no way to measure customer satisfaction' you are forced to realize just how deep the hole you are in really is. And in spite of everything they won't stop digging; they dig faster and harder.",
18-Sep-16,3,You're Nothing But a Liability,"The pay is good, but you'll earn it, doing the work the many who were laid off. Great opportunity to learn the jobs if many.","If you've been at Honeywell for more than 10 years, you're nothing but a financial burden. They're looking to get rid if you.",
19-Sep-16,3,Honeywell has a lot of opportunity and challenge for anyone who likes the directive environment.,- expectation to move into new roles every 18 months- results oriented culture- global footprint provides diverse environment,NA,
19-Sep-16,3,Honeywell Aerospace,Great company and a world presence.,Management distracted by too many meetings and too much travel.,
19-Sep-16,3,Honeywell HR,The people working were very nice.,The onboarding process is horrible. They sent notifications to my Honeywell email which I couldn't access. They didn't even notify me as to how I could set up my direct deposit. I felt like I was pulling teeth trying to get my own onboarding done.,
19-Sep-16,3,Honeywell Building Solutions,Work is no very demanding for the wages paid.Coworkers are very friendly and keep a positive attitude.,Not very organized.Goals very hard to maintainHiring is done through temp services.No benefits at all.Could take up to three years before hired to the company full time.Constant travel.No assurance of work days/hours.,
19-Sep-16,3,Data Solutions Engineer,good facilities etc etc etc,bad managers etc etc etc,
19-Sep-16,3,My early years with AlliedSignal (1992-2000) before the Honeywell merger were great!,I loved working with my customers and co-workers. My co-workers were always very professional. Pay was good. Until about 2006 the benefits were great.,Frustrations with management. Changes in my immediate manager and director occurred on an almost yearly basis. The training programs provided did not always pertain to what was need to do the job.,
20-Sep-16,3,Good place to work,"Even if not an engineer, you can ask questions to help understand technical aspects from engineers who gladly come to your aid.",Once you leave they typically don't rehire leaving past in the past.,
23-Sep-16,3,caunterbalance,The people at Honeywell is so nice and work like team,"no, none. I feel very well in this place",
23-Sep-16,3,Great place to work...if you are in senior leadership,I was a member of the senior leadership team and received great bonuses and stock (options and RSU's),Senior leaders are well compensated to deliver strong financial results on the backs of their employees. It finally became too difficult to look myself in the mirror and I left.,
24-Sep-16,3,Senior Project Manager,"Fast-Paced, multiple projects and international opportunities","Mafia-like work environment, inexperienced, young department Leader",
25-Sep-16,3,Working at Honeywell,"Development and manufacture of Interesting cutting-edge technology, good work life balance, flexibility to telecommute, many opportunities to change jobs within the metropolitan area","Bureaucracy. Resistance to change defended by ""that's not the process"". It takes too long to halt work on business cases that non longer make sense.",
25-Sep-16,3,Shipping computer process,"I like Honeywell, because in this company I feel comfortable . This place have at nice peoples, and we worked like team",For me this company only downsides is that takes long time for hire. Sometimes the people want to hire them after 30 days,
25-Sep-16,3,Big name. No culture,Big company with global presence.,"Honeywell does not value its employees. All work, all the time. Everyone in replaceable at any time.",
26-Sep-16,3,Quality Engineering,Decent pay. Good vacation and floating holidays. Benefits are comparable throughout the industry. Major Communication is good. Free flu shots are offered in October.,Constant Reductions in Force. Too many furloughs. Elimination of working supervisor positions. Products are transitioned overseas. Reorganizations created heavy top layer and small functional working layer. Limited work life balance. Older employees are targeted for layoffs.,
26-Sep-16,3,Honeywell strives for continuous improvement with rapid development times.,Salaries seem to be competitive. Honeywell is an industry leader.,Tough work environment with unreasonable project schedules. No time is allowed for the unforeseen. Schedule is king although management insists it is technical excellence.,
27-Sep-16,3,Enterprise Architect,Lots of different challenges and tasks,Management is always changing from year to year,
27-Sep-16,3,Good company in the past- starting to downsize though,I like to ability to work flexible hours. You can work remote as well on occasion. They do have some positive perks for employees.,"The company is going through a major re-org and they are letting people go, forcing employees to take furloughs, some people forced in to retirement and the benefits are becoming non-existant.",
27-Sep-16,3,Technician IV,Work Life Schedule is good as there are times one can work from home. Allowed to work on different projects,An industry that is difficult to change and modernize. Retiring workforce without new engineers to maintain or improve the product.,
27-Sep-16,3,Honeywell poor for salary and health benefits,Lost in the frayChaos from executives and managers,Poor to middle salary.Health benefits cut. Huge copay or deductible of $3000 for familyNo merit pay- CEO got $25 million merit though.Not appreciated by management or corporate.Moved to hourly from salaried status- then told not to accumulate overtime.VP/General Manager changes tune or outright lies.,
28-Sep-16,3,Ship board mechanic,Good benefits and good pay,Away from family too much,
28-Sep-16,3,Test Engineer,There are some excellent people working here who are willing to sponsor or mentor younger employees. Flexible working hours were a plus. The company encourages use of the peer recognition system.,"Very corporate structure, and time keeping system used for the whole company was not well suited for the fluctuation in work load in my department.",
28-Sep-16,3,IT at Honeywell,If you are an executive with equity compensation the stock has gone up for ten years.,Layoffs and furloughs are constant. No career paths. Morale is gone. IT function has so many controls in place you do nothing but fight through red tape. Starting a new project takes six months. Getting worse with even greater centralization of the function. Managers and even directors/VPs have no decision making authority. SVPs approve everything.,
28-Sep-16,3,"Positive Career Experince, Poor managment at top level",Learned a lot throughout my short time at Honeywell. Had several positions that made me a more well rounded engineer.,"During my <2 years as an employee there were 3, week long unpaid furloughs, followed by layoffs. The last of which I was affected by and was let go.",
28-Sep-16,3,poorly skilled management,If you like overtime. this is the place,"Direct manager was inapt, had no people skills. Poor morale.",
28-Sep-16,3,Honeywell is not for everyone,Honeywell has resources all over the world so you can find experts with your topic of interest literally anywhere.,"Because it is a global organization, Honeywell expects you to work around the clock. They do not hire engineers in North America because they would provide you with resources from countries such as India or China. It saves them money but it's not exactly Agile. After awhile, the long nightly scrum calls really drain you. Integration issues arise too when you count on someone so far away to provide you with software and sometimes they don't have the hardware to do the integration so you end up doing the integration.",
28-Sep-16,3,"Great People, Organization suffering from chasing stock price",Highly talented individual contributors and front line managersSmart regarding certain business decisions (global categories),Several furloughs/layoff in last 9 monthsInsurance is High Deductible plan,
28-Sep-16,3,Not much communicating in the Communications Department,NA,"- Poor communication from the corporate office, never ""in the know"" when needed- Some employees take advantage of their salaried position by taking excessive time off- Some disconnection between departments",
28-Sep-16,3,Horrid treatment of employees,Absolutely none. This company continues to bleed their employees and give obscene bonuses to upper management. Latest news is a 10% reduction in pay for engineers with no set end date. Sent out the email reducing salary and 4 hours later announced $18 million in bonuses to top 4 executives.,"They expect you to work a minimum of 44 hours with no additional compensation with most managers ""encouraging"" a minimum of 50. No raises for 3 years, furlough twice, no incentives for hard work. No upward mobility unless you are on the inside track and are a yes man.",
28-Sep-16,3,Great Company on the Decline (Honeywell Aerospace),"Excellent coworkers. I have rarely had as many smart, hardworking and productive individuals to work with. Some of the technical problems are tremendously interesting and challenging. Nice automated cafeteria. Management accommodates a good work-family balance","No capital investment.Micromanagement raised to absurd levels.Poor pay. Terrible benefits. Inept upper management.The first things cut in ""hard times"" are employees. Next comes benefits. Management (which includes upper level engineers) bonuses cut 50%, 401k matching cut from full to 3/4. Health insurance cost rises 10-20% per year for lowest coverage of any major company. 1 week furloughs every quarter. No pay increase in 3 of the last 8 years. No mentoring of young engineers. Older, established engineers looking forward to being offered layoffs. No chance of advancement.The ""Culture and Values"" rating is due to exceptional employees, not anything put forth by upper management.",
28-Sep-16,3,Bad Company,It was bad but is getting worse...,"Constantly reduce US employees and move jobs to overseas to cut cost. In addition, Salary reduction, forced unpaid leave, bad medical benefits,...",
28-Sep-16,3,Not so great,"Honeywell has been flexible as far as working from home or doing flex hours. Some people come in from 5-1 or 6-2 or 9-5, it's really up to each person what hours they want to work.","Furloughs, layoffs, low pay, slow upward movement. The management doesn't care at all about their employees. The CEO is retiring and is trying to artificially inflate the stock price before he cashes out.",
29-Sep-16,3,District General Manager,Great People and Resources throughout the company. The environment is very competitive and it is a results driven organization. Good for people that are able to generate business on their own and are creative in maximizing their time and effort.,Benefits and pay are close to the lower end of the spectrum for a fortune 100 company. A lot of upper management changes creates constant changes to strategies and objectives. Implementations of processes and procedures also weigh heavily on employee morale.,
29-Sep-16,3,System eng in aerospace,"interresting environmet, quite recent technologies in use","aerospace is slow in term of getting new devices onto airplane, so all the project rely on big amount of certification permission. rapid changes do not occur in this environment",
29-Sep-16,3,Benefits,"PMs have ultimate control, often prohibiting others from doing the right thing on projects","Some of the worst health benefits I've ever seen. Mandatory biometric screening each fall to prove you don't smoke, aren't obese, etc. or you incur $$",
29-Sep-16,3,Engineer,"Very good working environment, very good people to work with","Lack of job stability, lack of projects funding",
30-Sep-16,3,Good outfit,It's nice to work for a big company that has resources to support you. There are several divisions and they cover every discipline.,terrible benefit package; inhuman regard for employees -- you are just a number and can be RIF'd at any time despite your good performance,
30-Sep-16,3,Finance,"Challenging position with great people. Great teamwork. You see lots of businesses, especially if you are mobile and willing to relocate.","It can be very demanding. Work life balance is not always the best, Some of its offices are not exactly in the ideal locations",
30-Sep-16,3,"Company is in free fall, CEO exiting next year, ceo cashed out on $90M+ yet layoffs an furloughs every quarter.","Fun products and programs, good worker level people. Lots of opportunity to move around the company once you get hired.",Executive leadership running it into the ground. Leadership doesn't give you the resources to be successful. They make horrible decisions and then get promoted.,
30-Sep-16,3,improvised my technical skills under poor management and poor environment,Learned a lot throughout my short time at Honeywell. Had several positions that made me a more well rounded engineer.,"During my 3 years as an employee there were 3, week long unpaid furloughs, followed by layoffs. The last of which I was affected by and was let go. take work on sat sun and even on labour day without any compensation ;",
01-Oct-16,4,Estimator,Honeywell is a successful publicly traded business.,The shareholders' interests are top priority for Honeywell. Shareholders have zero interest in employee well-being; this is detrimental to the culture at Honeywell and therefore employee morale.,
01-Oct-16,4,Director,Good salaryFinancially stableDecent work life balance,Too many layers of bureaucracyPoor health coverage,
01-Oct-16,4,Running place to ground. Fake leaders. Layoffs. Demotions.,Big brand. Large portfolio. Diversified Technologies. Innovation and process. Fortune 100. #illusion. #shareholdervalue. #stockprice. #goodfromoutside,"#ReductionInForce #RIF You cannot make up the stuff that goes in Honeywell. HON only cares about operating income and #shareholder value. #Layoffs are a norm. This place is a #circus. You are constantly seen as a number. If you are a #block5, be worried. You are seen as #average. They keep telling everyone an 'A' player from outside is typically a #block5. You will be on #RIF. Everyone is constantly #worried. We keep getting told that HON has to do the #rightthing. #shareholdervalue. #donotrecommend. #50hourworkweek. #7amConferenceCalls.",
02-Oct-16,4,Sr Project Leader IT,"Good Benefits, 401K & work-life balance",Not much options to choose for Health Care plan,
02-Oct-16,4,No longer a good place to work,Used to be much better,"Health insurance has gotten expensive and deductibles are high, layoffs and furloughs are now commonplace, employees are not appreciated",
03-Oct-16,4,Great experience !,Honeywell helped me grow professionally . I learned a lot from a lot of great leaders . Lots of growth opportunity and great pay,A lot of fluctuations with the market in aerospace .,
03-Oct-16,4,Things have changed,"Amazing systems which can help drive functional excellence. As an example, their Employee annual performance online system is excellent. They have thousands of dedicated employees who remain loyal to the company.","Good systems, tools, processes...that said, it seems there is an expert process, tool, system, website, team for everything.....to a fault. Unfortunately..there is a functional expert in charge of of nearly everything which results in a current state where it is difficult to figure out how to operate at times.",
04-Oct-16,4,Great Stock Movement,Stock price great trajectoryFlexibilityVirtual environment,lack of trust in GV leadershipbenefits below industry standard,
04-Oct-16,4,Principle Engineer,40 hr work week. Average salary,12-hour time-zone difference with many teammates.,
04-Oct-16,4,Sales,Stable work environment in all aspects - good place to work most of the time - sometimes not,Moving up hard - management out of touch - too much expected of you - pay way to low and no raises,
05-Oct-16,4,Overall good company,"Work-life balance (vacation, sick time, flexible hours)Benefits (401k, pension, life insurance)TechnologyEmployee talent (a lot of experienced people)","Job security (lay-offs, furloughs)Investment in people and facilities (old facilities, promotions)Health plan",
05-Oct-16,4,Corporate stereotype,"Uhhh, well if you're lucky enough to really not care about your job, you're easy going and can blend into the woodwork, you might be able to come in, keep your head down and just be left alone.","Anecdote: Upper management recognizes benefits of morale. Middle management then tasked with setting standard to measure morale - employees caring enough about the company to submit their own ideas for ""continuous improvements"" (CI's). Lower management is tasked with achieving measurable morale in the form of the volume of CI's - two a month. Bottom management puts a gun to each employee's head and tells them they'd better turn in 2 CI's a month or it'll go in their next performance review making them vulnerable the next time they have layoffs. Employees reluctantly turn in any CI's that'll give them two a month, including things like ""found pen on floor, picked it up"". Upper management sees numbers and thinks morale goals have been met, avalanche of mostly-worthless CI's waste several people's time, and employee morale couldn't be worse. This pretty much sums up everything Honeywell does.Safety: Safety SEEMS to be a MAJOR concern for Honeywell! ... unless it's too inconvenient or expensive, then hell with ya. HSE's goal is not to keep the employees safe, but to reduce Honeywell's liability.Pay: Rates have been frozen for well over a decade. After 8 years I was still making only 76% of the industry's standard for STARTING pay in the same job.People: Most co-workers are hard-working and friendly people. Team Leads are too often unqualified simpletons with too much liability and not enough authority. Supervisors stay in their offices and don't want to be bothered with any of that work-related stuff. Upper management are usually polite but clueless. They set impossible standards based on BS numbers and the production floor creates more BS to look like they achieved it.Advancement: None. Seriously, not a chance in hell.I have never in my life worked for a company that has so perfectly represented the stereotypes of corporate bureaucracy. I don't know of anyone who works there that wants to, but they're the biggest employer in the area.",
06-Oct-16,4,Honeywell Aerospace Internship Program - Urbana OH,"Culture, People, Upward mobility, Real world learning",Fast-paced environment (swim or drown),
06-Oct-16,4,Great place to work with great career progression,Career growth and path. Fantastic job security working for a large company with an emphasis on growth and market capture.,"Large company which comes with processes, mostly to protect employees.",
06-Oct-16,4,Engineer,Small group under large corporation,Limited personal challenge oportunity and creativity,
06-Oct-16,4,Could be better,Many of the managers I have worked with are very helpful and care about you as an individual. There are always projects to be worked.,"Upper management does not care about employees. They say employees are the ultimate differentiation, yet they don't focus on their needs. To them, revenue and the bottom line is the ultimate differentiation.",
06-Oct-16,4,Technology company impeded by size and physical infrastructure,"Great pay, good people and interesting work.",Failing to adapt to the markets they serve.,
07-Oct-16,4,Concerning Trends,Some very interesting industries and projectsGood compensationGreat colleagues (those who are left),"Very heavy handed shift away from flexible work arrangements. In a nutshell, management has decided to suddenly announce a company wide cancellation of any remote work scenarios with almost no exceptions.",
07-Oct-16,4,Honeywell,Large cap company offers lots of variety for career pathing; high talent organization means you get to work with a great peer community; global.,"Large cap company that can sometimes be too big to manage; increasing appetite for moving jobs off shore creating instability in the workforce & thereby morale; women in the workforce in low (has improved over the years, but still low) especially in leadership positions.",
07-Oct-16,4,Declining company,Some of my coworkers are nice.,"Furloughs, sometimes they take away any merit increase, slowly declining healthcare, difficult to do a direct promotion so people switch around jobs internally a lot and it creates discontinuities in the knowledge of program history.",
08-Oct-16,4,"You are a resource here, not a person.",The work is interesting with an ever changing business and focus. I definitely do not get bored working here.,"In the 18 months or so I've worked here, there have been 4 furloughs, 3 layoffs, a decision for no raises, increased health insurance with reduced coverage, and a new ban on working remotely. They've eliminated nearly every benefit there is to working at Honeywell. Employees and their happiness are the absolute lowest priority at Honeywell.",
08-Oct-16,4,Not a place to work; treats employees with disdain,Good work life balance. Good systems and process in place.,"no perks, health insurance cost rise every year, they dropped dental for next year. furloughs,merit freezes, and reduction in force despite company growth and gangbuster stock price. eliminated telecommuting. its a company that squeezes ever bit of earnings on the backs of their employees.",
